name,longitude,latitude
Machilus sp.,120.7188867,23.49175833
Machilus sp.,120.487243,23.475115
Machilus sp.,120.487243,23.475115
Machilus sp.,121.5196317,24.166045
Machilus sp.,120.4891883,23.47969167
Machilus sp.,120.4897511,23.47411331
Machilus sp.,121.3404702,24.98427788
Machilus sp.,121.6416355,25.217476
Machilus sp.,120.4898217,23.475125
Machilus sp.,121.5337133,25.17433
Machilus sp.,120.737205,22.410955
Machilus sp.,120.7157148,23.001952
Machilus sp.,120.4327144,23.4962996
Machilus sp.,121.1298008,24.81287103
Machilus sp.,120.4848633,23.47403333
Machilus sp.,120.47885,23.46672167
Machilus sp.,120.4901577,23.47480907
Machilus sp.,120.9001544,23.86310344
Machilus sp.,120.7873705,23.90384614
Machilus sp.,120.6324804,23.69910103
Machilus sp.,120.6227308,23.71046828
Machilus sp.,120.6223278,23.71035845
Machilus sp.,121.174464,24.8519325
Machilus sp.,121.1750098,24.8518468
Machilus sp.,121.1742289,24.85286314
Machilus sp.,120.943308,24.279218
Machilus sp.,121.7451778,24.60498889
Machilus sp.,121.8031328,24.61600635
Machilus sp.,120.9212583,23.84290167
Machilus sp.,121.7876358,25.04875565
Machilus sp.,121.744606,25.0428524
Machilus sp.,121.1313858,24.75444412
Machilus sp.,121.503952,25.15528297
Machilus sp.,121.5904013,24.7600978
Machilus sp.,120.4969425,23.25904688
Machilus sp.,120.4990024,23.26344298
Machilus sp.,120.4988823,23.26335625
Machilus sp.,121.6217667,25.09527167
Machilus sp.,121.5216367,25.1427555
Machilus sp.,120.5491333,23.88129667
Machilus sp.,121.5154317,25.17877833
Machilus sp.,120.9821445,24.79216789
Machilus sp.,120.7159555,23.4982809
Machilus sp.,121.5966633,25.09201667
Machilus sp.,120.71768,23.49893333
Machilus sp.,121.147991,24.749867
Machilus sp.,121.503983,25.154895
Machilus sp.,121.6205667,24.96722
Machilus sp.,121.4714051,24.65268902
Machilus sp.,121.0169047,22.82152773
Machilus sp.,121.0164863,22.82154751
Machilus sp.,121.2920618,24.54951253
Machilus sp.,121.2915545,24.54457271
Machilus sp.,121.2920359,24.54901046
Machilus sp.,121.591044,25.02990285
Machilus sp.,120.6677586,24.15807674
Machilus sp.,120.6676849,24.15810108
Machilus sp.,120.6676621,24.15813833
Machilus sp.,120.6678294,24.1583653
Machilus sp.,120.6676584,24.15812015
Machilus sp.,120.6678728,24.1587436
Machilus sp.,120.6676534,24.15810297
Machilus sp.,120.6684365,24.15813154
Machilus sp.,120.6684571,24.15809758
Machilus sp.,121.8130633,24.63198833
Machilus sp.,120.6684488,24.15720716
